method	path	path_html	app	controller	action	auth	auth_required	desc	file	line
UNKNOWN	/window/ticket/getTicketPirce	/window/ticket/getTicketPirce.html	window	Ticket	getTicketPirce	window-token(Uuid)	yes		app/window/controller/Ticket.php	312
POST	/window/ticket/list	/window/ticket/list.html	window	Ticket	list	window-token(Uuid)	yes	获取订单列表	app/window/controller/Ticket.php	353
POST	/window/ticket/pay	/window/ticket/pay.html	window	Ticket	pay	window-token(Uuid)	yes	提交订单	app/window/controller/Ticket.php	55
UNKNOWN	/window/ticket/queryOrder	/window/ticket/queryOrder.html	window	Ticket	queryOrder	window-token(Uuid)	yes		app/window/controller/Ticket.php	565
UNKNOWN	/window/ticket/queryTourist	/window/ticket/queryTourist.html	window	Ticket	queryTourist	window-token(Uuid)	yes		app/window/controller/Ticket.php	533
POST	/window/ticket/refund	/window/ticket/refund.html	window	Ticket	refund	window-token(Uuid)	yes	提交退款整单退款	app/window/controller/Ticket.php	280
POST	/window/ticket/single_refund	/window/ticket/single_refund.html	window	Ticket	single_refund	window-token(Uuid)	yes	提交退款整单退款	app/window/controller/Ticket.php	249
POST	/window/ticket/stats	/window/ticket/stats.html	window	Ticket	stats	window-token(Uuid)	no	报表统计	app/window/controller/Ticket.php	451
UNKNOWN	/window/ticket/takeTicket	/window/ticket/takeTicket.html	window	Ticket	takeTicket	window-token(Uuid)	yes		app/window/controller/Ticket.php	589
UNKNOWN	/window/upload/index	/window/upload/index.html	window	Upload	index	window-token(Uuid)	yes		app/window/controller/Upload.php	45
UNKNOWN	/window/webupload/index	/window/webupload/index.html	window	Webupload	index	window-token(Uuid)	no		app/window/controller/Webupload.php	45
UNKNOWN	/xc/index/captcha	/xc/index/captcha.html	xc	Index	captcha	xc(AES+md5-sign)	yes		app/xc/controller/Index.php	92
UNKNOWN	/xc/index/change	/xc/index/change.html	xc	Index	change	xc(AES+md5-sign)	no		app/xc/controller/Index.php	51
POST	/xc/index/system	/xc/index/system.html	xc	Index	system	xc(AES+md5-sign)	yes	返回系统信息	app/xc/controller/Index.php	64
POST	/xc/index/winlogin	/xc/index/winlogin.html	xc	Index	winlogin	xc(AES+md5-sign)	yes	系统登录接口，返回 token 用于操作需验证身份的接口	app/xc/controller/Index.php	102
UNKNOWN	/xc/order/accept	/xc/order/accept.html	xc	Order	accept	xc(AES+md5-sign)	yes		app/xc/controller/Order.php	56
UNKNOWN	/xc/order/CancelOrder	/xc/order/CancelOrder.html	xc	Order	CancelOrder	xc(AES+md5-sign)	yes		app/xc/controller/Order.php	481
UNKNOWN	/xc/order/CancelPreOrder	/xc/order/CancelPreOrder.html	xc	Order	CancelPreOrder	xc(AES+md5-sign)	yes		app/xc/controller/Order.php	468
UNKNOWN	/xc/order/CreatePreOrder	/xc/order/CreatePreOrder.html	xc	Order	CreatePreOrder	xc(AES+md5-sign)	yes		app/xc/controller/Order.php	61
UNKNOWN	/xc/order/DateInventoryModify	/xc/order/DateInventoryModify.html	xc	Order	DateInventoryModify	xc(AES+md5-sign)	yes		app/xc/controller/Order.php	675
UNKNOWN	/xc/order/OrderConsumedNotice	/xc/order/OrderConsumedNotice.html	xc	Order	OrderConsumedNotice	xc(AES+md5-sign)	no		app/xc/controller/Order.php	851
UNKNOWN	/xc/order/OrderTravelNotice	/xc/order/OrderTravelNotice.html	xc	Order	OrderTravelNotice	xc(AES+md5-sign)	no		app/xc/controller/Order.php	840
UNKNOWN	/xc/order/PayPreOrder	/xc/order/PayPreOrder.html	xc	Order	PayPreOrder	xc(AES+md5-sign)	yes		app/xc/controller/Order.php	361
UNKNOWN	/xc/order/QueryOrder	/xc/order/QueryOrder.html	xc	Order	QueryOrder	xc(AES+md5-sign)	yes		app/xc/controller/Order.php	589
UNKNOWN	/xc/order/testGetOrder	/xc/order/testGetOrder.html	xc	Order	testGetOrder	xc(AES+md5-sign)	no		app/xc/controller/Order.php	860
UNKNOWN	/xc/order/VerifyOrder	/xc/order/VerifyOrder.html	xc	Order	VerifyOrder	xc(AES+md5-sign)	yes	描述：下单验证接口在客人下单时提前将下单信息提交给供应商系统进行校验，及时告知客人是否可以预定成功，有助于提高订单预定成功率和提升客人预定体验。	app/xc/controller/Order.php	719
POST	/xc/ticket/detail	/xc/ticket/detail.html	xc	Ticket	detail	xc(AES+md5-sign)	yes	订单详情	app/xc/controller/Ticket.php	672
UNKNOWN	/xc/ticket/getTicketPirce	/xc/ticket/getTicketPirce.html	xc	Ticket	getTicketPirce	xc(AES+md5-sign)	yes		app/xc/controller/Ticket.php	563
